TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL0 0,1.93,0.04,0.04,0.50,0.31,0.00,0.04,0.22,0.00,0.10,0.01,1.32
AT0 0,44.84,7.59,7.23,26.68,7.35,0.36,1.51,10.66,2.51,4.05,0.37,26.89
BA0 0,4.90,0.79,0.76,1.09,1.08,0.05,0.08,0.26,0.00,0.89,0.01,2.66
BE0 0,68.35,5.20,4.95,23.25,21.52,-0.33,2.62,54.59,5.39,4.91,1.91,37.21
BG0 0,13.53,0.00,0.00,4.23,3.71,-0.11,0.49,8.91,1.96,1.10,0.31,8.68
CH0 0,18.76,0.41,0.39,7.09,4.76,-0.10,0.71,10.51,0.19,1.61,0.37,11.37
CZ0 0,39.59,5.30,5.05,11.94,6.76,0.21,1.30,11.06,1.13,3.53,0.39,22.49
DE0 0,352.49,32.48,30.95,129.13,105.43,-0.86,13.39,241.36,15.68,27.01,8.45,222.76
DK0 0,12.70,0.00,0.00,5.25,1.15,0.00,0.41,0.00,0.00,1.43,0.00,5.83
DK1 0,4.24,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.00,0.04,0.00,2.57
EE2 0,3.15,0.00,0.00,2.31,0.22,0.00,0.13,0.00,0.22,0.25,0.00,2.06
ES0 0,154.00,5.08,4.84,47.83,25.42,-0.10,4.30,34.98,2.51,12.88,1.22,75.24
ES3 0,0.76,0.00,0.00,0.42,0.10,0.00,0.03,0.00,0.00,0.10,0.00,0.47
FI1 0,48.79,2.84,2.70,55.27,5.44,0.03,1.77,12.62,0.49,1.40,0.44,37.83
FR0 0,172.77,10.62,10.12,73.40,33.92,-0.06,6.37,61.23,6.52,14.04,2.14,106.13
GB4 0,153.69,9.78,9.32,47.78,19.25,0.19,5.54,36.15,5.10,9.65,1.27,89.73
GB5 0,3.30,0.00,0.00,1.16,0.74,-0.01,0.13,1.19,0.17,0.40,0.04,2.01
GR0 0,18.41,0.00,0.00,6.37,5.45,-0.03,0.42,2.37,0.75,3.22,0.08,12.57
HR0 0,6.02,0.00,0.00,3.31,1.40,0.00,0.26,0.00,2.35,1.50,0.00,3.40
HU0 0,21.69,1.63,1.55,7.51,6.56,-0.07,0.84,14.30,2.07,1.78,0.50,15.11
IE5 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,0.00,1.10,0.00,9.84
IT0 0,171.68,5.18,4.93,61.41,23.85,0.02,5.80,25.81,3.38,15.01,0.90,108.94
IT6 0,5.34,0.00,0.00,1.10,0.67,-0.02,0.15,1.46,0.19,0.30,0.05,3.24
LT2 0,3.68,0.00,0.00,2.47,0.42,0.00,0.14,0.00,5.50,0.52,0.00,2.62
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.00,0.65,0.00,3.16
LV2 0,3.78,0.00,0.00,3.83,0.70,-0.00,0.16,0.29,0.00,0.66,0.01,1.70
ME0 0,0.75,0.02,0.02,0.29,0.16,0.00,0.02,0.08,0.00,0.15,0.00,0.36
MK0 0,2.05,0.49,0.47,0.32,0.35,0.03,0.03,0.14,0.00,0.14,0.00,1.37
NL0 0,77.98,7.45,7.09,22.99,41.06,-1.03,3.68,122.89,14.43,3.14,4.30,32.29
NO1 0,33.58,1.79,1.71,9.26,12.28,-0.13,0.89,19.99,1.88,6.44,0.70,17.16
PL0 0,71.42,5.75,5.48,36.29,14.25,0.22,2.16,12.65,13.80,10.66,0.44,47.61
PT0 0,27.14,0.00,0.00,17.64,4.74,-0.06,1.02,4.78,0.00,3.46,0.17,15.48
RO0 0,33.39,2.43,2.32,10.24,10.23,-0.02,1.07,14.45,3.14,5.26,0.51,20.10
RS0 0,15.05,1.11,1.06,4.35,3.48,-0.01,0.47,7.07,0.46,0.66,0.25,9.87
SE1 0,56.63,3.12,2.98,59.75,7.58,-0.00,2.07,16.66,0.00,2.40,0.58,50.28
SI0 0,7.18,0.00,0.00,3.48,1.21,-0.02,0.23,1.26,0.00,0.89,0.04,6.20
SK0 0,16.24,4.58,4.36,6.16,2.89,0.29,0.35,0.48,2.45,2.90,0.02,11.27
